filename,canidate,has_python2_module,has_python3_module,trove_python3
python-midiutil_0.87-3.json,,✓,,
prettytable_0.7.2-3.json,,✓,✓,✓
pygdchart2_0.beta1-3.4.json,,,,
python-django-voting_0.2-1.json,,✓,,
python-toscawidgets_0.9.7.2-3.json,,✓,,
python-cluster_1.1.1b3-1.json,,,,
python-weberror_0.10.3+dfsg-1.json,,✓,,
pylibssh2_1.0.0-1.1.json,,✓,,
python-pyaudio_0.2.8-1.json,,✓,✓,
pastescript_1.7.5-3.json,,✓,,
python-htmltmpl_1.22-10.json,,,,
python-gnupg_0.3.6-1.json,,✓,✓,✓
python-stdlib-extensions_2.7.9-1.json,,✓,,
pyside_1.2.2-1.json,,✓,✓,
python-pip_1.5.6-5.json,,✓,✓,✓
python-html2text_2014.9.25-1.json,,✓,✓,✓
pesto_25-1.json,,✓,,
pylirc_0.0.5-3.json,,,,
python-stompy_0.2.9-1.json,,,,
python-boto_2.34.0-2.json,,✓,✓,✓
pystatgrab_0.5-4.json,,✓,,
python-fastimport_0.9.4-3.json,,✓,,
python-bottle_0.12.7-1.json,,✓,✓,✓
pdfminer_20110515+dfsg-1.json,,,,
python-tidylib_0.2.1~dfsg-2.json,,✓,,
pylibtiff_0.3.0~svn78-3.1.json,,✓,,
pytools_2014.3-2.json,,✓,✓,
pyxid_1.0-1.json,,,,
python-unit_1.4.1-16.1.json,,✓,,
python-ptrace_0.7-1.json,✓,✓,,✓
pynn_0.7.4-1.json,,✓,,
python-opster_4.1-1.json,,✓,,
python-weblib_1.3.9-1.json,,✓,,
python-cdo_1.2.1-7.json,,✓,✓,
python-restkit_4.2.2-1.json,,✓,,
python-pqueue_0.2-7.2.json,,✓,,
pysurfer_0.5-1.json,,✓,,
python-tracing_0.8-1.json,,✓,,
python-bsddb3_6.1.0-1.json,,✓,✓,
python-buzhug_1.8-2.json,,✓,,
python-translationstring_1.1-4.json,,✓,✓,✓
pysmbc_1.0.15.1-0.1.json,,✓,,
pysmbc_1.0.15.3-0.2.json,,✓,,
pykerberos_1.1.5-0.1.json,,✓,✓,✓
python-defer_1.0.6-2.json,,✓,✓,
pyplusplus_1.0.0-1.json,,✓,,
python-neuroshare_0.9.2-1.json,,✓,,
pymetrics_0.8.1-7.json,,,,
python-kajiki_0.4.4-2.json,,✓,✓,✓
python-colorama_0.3.2-1.json,,✓,✓,✓
python-mpd_0.3.0-4.json,,✓,,
pyacoustid_1.1.0-3.json,,✓,✓,✓
psycopg2_2.5.4+dfsg-1.json,,✓,✓,✓
python-bitarray_0.8.1-1.json,,✓,✓,✓
joblib_0.8.3-1.json,,✓,✓,✓
jpylyzer_1.13.0-1.json,,✓,,
jcc_2.20-1.json,,,,
